XM_048300463.1#UBA5	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048300463.1" target=_blank>XM_048300463.1</A>
XM_048287527.1#MAP7D2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048287527.1" target=_blank>XM_048287527.1</A>
XM_048300127.1#OSBPL8	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048300127.1" target=_blank>XM_048300127.1</A>
XM_048324222.1#NLK	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048324222.1" target=_blank>XM_048324222.1</A>
XM_048312742.1#LMO4	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048312742.1" target=_blank>XM_048312742.1</A>
XM_048311176.1#NT5C2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048311176.1" target=_blank>XM_048311176.1</A>
XM_048322212.1#LOC125334972	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048322212.1" target=_blank>XM_048322212.1</A>
XM_048320789.1#TSC2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048320789.1" target=_blank>XM_048320789.1</A>
XM_048308949.1#CARF	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048308949.1" target=_blank>XM_048308949.1</A>
XM_048310330.1#SP9	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048310330.1" target=_blank>XM_048310330.1</A>
XM_048293430.1#LOC125320990	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048293430.1" target=_blank>XM_048293430.1</A>
XM_048297871.1#STUM	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048297871.1" target=_blank>XM_048297871.1</A>
XM_048317856.1#LOC125332686	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048317856.1" target=_blank>XM_048317856.1</A>
XM_048301601.1#SCUBE1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048301601.1" target=_blank>XM_048301601.1</A>
XM_048318623.1#RPS6KA6	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048318623.1" target=_blank>XM_048318623.1</A>
XM_048311873.1#IKZF5	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048311873.1" target=_blank>XM_048311873.1</A>
XM_048288304.1#PCYT1B	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048288304.1" target=_blank>XM_048288304.1</A>
XM_048302003.1#CELF2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048302003.1" target=_blank>XM_048302003.1</A>
XM_048311944.1#LDB3	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048311944.1" target=_blank>XM_048311944.1</A>
XM_048313125.1#SPATA6	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048313125.1" target=_blank>XM_048313125.1</A>
XM_048323840.1#MYH10	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048323840.1" target=_blank>XM_048323840.1</A>
XM_048320712.1#DHRS7B	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048320712.1" target=_blank>XM_048320712.1</A>
XM_048297816.1#LOC125323145	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048297816.1" target=_blank>XM_048297816.1</A>
XM_048296781.1#SYNE1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048296781.1" target=_blank>XM_048296781.1</A>
XM_048320873.1#LOC125334226	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048320873.1" target=_blank>XM_048320873.1</A>
XM_048303500.1#SLIT2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048303500.1" target=_blank>XM_048303500.1</A>
XM_048312102.1#DOCK1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048312102.1" target=_blank>XM_048312102.1</A>
XM_048306687.1#GRK2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048306687.1" target=_blank>XM_048306687.1</A>
XM_048298395.1#LOC125323441	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048298395.1" target=_blank>XM_048298395.1</A>
XM_048319965.1#LSM11	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048319965.1" target=_blank>XM_048319965.1</A>
XM_048295006.1#HSPH1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048295006.1" target=_blank>XM_048295006.1</A>
XM_048321693.1#TPD52L2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048321693.1" target=_blank>XM_048321693.1</A>
XM_048296825.1#ICE1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048296825.1" target=_blank>XM_048296825.1</A>
XM_048292836.1#SHOC1	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048292836.1" target=_blank>XM_048292836.1</A>
XM_048311748.1#SEC24C	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048311748.1" target=_blank>XM_048311748.1</A>
XM_048304901.1#MAVS	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048304901.1" target=_blank>XM_048304901.1</A>
XM_048325310.1#ADAMTSL2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048325310.1" target=_blank>XM_048325310.1</A>
XM_048289278.1#LOC125318493	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048289278.1" target=_blank>XM_048289278.1</A>
XM_048317012.1#LOC125332276	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048317012.1" target=_blank>XM_048317012.1</A>
XM_048314701.1#MB21D2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048314701.1" target=_blank>XM_048314701.1</A>
XM_048292734.1#CKMT2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048292734.1" target=_blank>XM_048292734.1</A>
XM_048295673.1#SALL3	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048295673.1" target=_blank>XM_048295673.1</A>
XM_048311081.1#OGDHL	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048311081.1" target=_blank>XM_048311081.1</A>
XM_048294308.1#LOC125321446	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048294308.1" target=_blank>XM_048294308.1</A>
XM_048320529.1#SIRT2	<A HREF="https://www.ncbi.nlm.nih.gov/nuccore/XM_048320529.1" target=_blank>XM_048320529.1</A>
